id_num;code;name;publication_date;show;platform_code;platform_name;icrc_unit_code;icrc_unit_name;product_type_code;product_type_name;highlight;confidentiality_code;confidentiality_name;description;id_str;link;thumbnail;bitly
p_1;paper-maps;Paper maps;;yes;paper-maps;Paper maps;icrc;ICRC;PROD;PROD;yes;I;Internal;Paper maps prepared by GIS officers around the world and HQ team;product-container-paper-maps;http://search.gva.icrc.priv:15000/resourcecentre/page/search?cloudview.r=f%2FSource%2Fmaps&cloudview.s=desc%28document_lastmodifieddate%29&q=;img/EHG1500065_NP_TH_ICRC_Presence_A4L__040515.png;
p_2;geoportal;Geoportal;;yes;web;Web;icrc;ICRC;PROD;PROD;yes;I;Internal;Meeting room of all ICRC geoinformation;product-container-geoportal;https://gis.ext.icrc.org/geoportal/site/;img/geoportal.png;
p_3;wathab-detention_portal;Wathab Detention Portal;;yes;web;Web;wathab;Wathab;PROD;PROD;no;I;Internal;Wathab detention data collector tool;product-container-wathab-detention;https://gis.ext.icrc.org/geoportal/flex/FlexBaselineDetention/arxMapFlex.aspx;img/wathabDetention.png;
p_4;wathab-30-years;30 years of safe water;01.01.2013;yes;web;Web;wathab;Wathab;PROD;PROD;no;P;Public;Website prepared to honour the 30th anniversary of Wathab Unit;product-container-wathab-30-years;http://www.icrcproject.org/app/safewater-30years/;img/30ans.png;http://bit.ly/1csj6cg
p_5;somalia;Somalia;;no;web;Web;icrc;ICRC;PROD;PROD;no;P;Public;Somalia: Picking up the pieces after twin natural disasters;product-container-somalia;https://icrc.maps.arcgis.com/apps/MapTour/index.html?appid=2a2c55adf30d4e8e9549a0358f9ee4dd&webmap=cf02fde1be4f4fbda85fbb705f936872;img/somaliaStoryMap.png;
p_6;ar-2012;ICRC Annual Report 2012;01.05.2013;yes;web;Web;icrc;ICRC;PROD;PROD;no;P;Public;Web map with the official figures of the ICRC Annual Report 2012;product-container-ar-2012;http://www.icrcproject.org/app/2012-annual-report-map/;img/AnnualReport12.png;http://bit.ly/1F4ktrx
p_7;ar-2013;ICRC Annual Report 2013;01.05.2014;yes;web;Web;icrc;ICRC;PROD;PROD;no;P;Public;Web map with the official figures of the ICRC Annual Report 2013;product-container-ar-2013;http://www.icrcproject.org/app/2013-annual-report-map/;img/AnnualReport13.png;http://bit.ly/1ATD4Tj
p_8;ar-2014;ICRC Annual Report 2014;01.05.2015;yes;web;Web;icrc;ICRC;PROD;PROD;yes;P;Public;Web map with the official figures of the ICRC Annual Report 2014;product-container-ar-2014;http://www.icrcproject.org/app/2014-annual-report-map/;img/AnnualReport13.png;http://bit.ly/1EzIjbm
p_9;gaza-crisis-2014;Gaza Crisis 2014;01.08.2014;yes;web;Web;icrc;ICRC;BETA;BETA;no;I;Internal;Response during Gaza Crisis in summer 2014 containing web map and list of paper maps;product-container-gaza-crisis-2014;https://gis.ext.icrc.org/geoportal/apps/gazacrisismapportal/;img/gaza2014.png;
p_10;hagupit-2014;Hagupit Typhoon;01.12.2014;yes;web;Web;icrc;ICRC;BETA;BETA;no;I;Internal;Response after Hagupit typhoon in 2014  (Philippines) containing web map and list of paper maps;product-container-hagupit-2014;https://gis.ext.icrc.org/geoportal/apps/hagupit/;img/hagupit.png;
